"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Toward Semantic Interoperability of Electronic Health Records","I. Berges; J. Bermudez; A. Illarramendi","Department of Languages and Information Systems, University of Basque Country (UPV-EHU), Donostia San Sebastian, Spain; Department of Languages and Information Systems, University of Basque Country (UPV-EHU), Donostia San Sebastian, Spain; Department of Languages and Information Systems, University of Basque Country (UPV-EHU), Donostia San Sebastian, Spain",IEEE Transactions on Information Technology in Biomedicine,"1 May 2012","2012","16","3","424","431","Although the goal of achieving semantic interoperability of electronic health records (EHRs) is pursued by many researchers, it has not been accomplished yet. In this paper, we present a proposal that smoothes out the way toward the achievement of that goal. In particular, our study focuses on medical diagnoses statements. In summary, the main contributions of our ontology-based proposal are the following: first, it includes a canonical ontology whose EHR-related terms focus on semantic aspects. As a result, their descriptions are independent of languages and technology aspects used in different organizations to represent EHRs. Moreover, those terms are related to their corresponding codes in well-known medical terminologies. Second, it deals with modules that allow obtaining rich ontological representations of EHR information managed by proprietary models of health information systems. The features of one specific module are shown as reference. Third, it considers the necessary mapping axioms between ontological terms enhanced with so-called path mappings. This feature smoothes out structural differences between heterogeneous EHR representations, allowing proper alignment of information.","1558-0032","","10.1109/TITB.2011.2180917","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6119220","Electronic health record (EHR);ontology;semantic interoperability","Ontologies;Semantics;Medical services;Information systems;Electrocardiography;Terminology;Proposals","Computer Communication Networks;Electronic Health Records;Humans;Medical Record Linkage;Semantics;Systems Integration;Terminology as Topic","34","","28","IEEE","30 Dec 2011","May 2012","","IEEE","IEEE Journals"
"Bridging Multi Agent Systems and Web Services: towards interoperability between Software Agents and Semantic Web Services","M. O. Shafiq; Y. Ding; D. Fensel","Digital Enterprise Research Institute (DERI), ICT Technology Park, University of Innsbruck, Innsbruck, Austria; Digital Enterprise Research Institute (DERI), ICT Technology Park, University of Innsbruck, Innsbruck, Austria; Digital Enterprise Research Institute (DERI), ICT Technology Park, University of Innsbruck, Innsbruck, Austria",2006 10th IEEE International Enterprise Distributed Object Computing Conference (EDOC'06),"19 Dec 2006","2006","","","85","96","The semantic Web services have been emerging to enable dynamic service discovery, composition, invocation, execution monitoring. On the other hand, software agents are envisioned as autonomous, proactive software entities that act on behalf its users according to a given agenda of goals. Software agents have been envisioned as potential user of semantic Web services in order to interact with semantic descriptions of SWS to autonomously discover, select, compose, invoke and execute the services based on user requirements. However, there exists a communication gap among the both. The major reason is that software agents are not compatible with widely accepted standards of Web services. This paper provides a solution to make multi agent systems compatible with existing Web services standards without changing their existing specifications and implementations, with an assumption that it will be helpful for enabling further interoperability between software agents and semantic Web services. AgentWeb gateway is an initiative for dynamic and seamless interoperation of multi agent systems and Web services. We present abstract architecture and detailed design of the proposed system, abstract algorithms for required protocol transformations, evaluation of the system and analysis of results","1541-7719","0-7695-2558-X","10.1109/EDOC.2006.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4031198","","Web services;Software agents;Semantic Web;Software standards;Middleware;Algorithm design and analysis;Protocols;Communication standards;Monitoring;Computer architecture","","34","4","30","IEEE","19 Dec 2006","16-20 Oct. 2006","16-20 Oct. 2006","IEEE","IEEE Conferences"
"Semantic dictionary design for database interoperability","S. Castano; V. De Antonellis","University of Milano, Milan, Italy; University of Brescia and Politecnico di Milano, Milan, Italy",Proceedings 13th International Conference on Data Engineering,"6 Aug 2002","1997","","","43","54","Criteria and techniques to support the establishment of a semantic dictionary for database interoperability are described. The techniques allow the analysis of conceptual schemas of databases in a federation and the definition and maintenance of concept hierarchies. Similarity-based criteria are used to evaluate concept closeness and, consequently, to generate concept hierarchies. Experimentation of the techniques in the public administration domain is discussed.","1063-6382","0-8186-7807-0","10.1109/ICDE.1997.581738","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=581738","","Dictionaries;Information systems;Erbium;Database systems;Terminology;Data models;Data analysis;Organizing;Information analysis;Query processing","","33","","17","IEEE","6 Aug 2002","7-11 April 1997","7-11 April 1997","IEEE","IEEE Conferences"
"A Semantic Interoperability Framework for Cloud Platform as a Service","N. Loutas; E. Kamateri; K. Tarabanis","Centre for Research and Technology Hellas, Thessaloniki, Greece; Centre for Research and Technology Hellas, Thessaloniki, Greece; Centre for Research and Technology Hellas, Thessaloniki, Greece",2011 IEEE Third International Conference on Cloud Computing Technology and Science,"19 Jan 2012","2011","","","280","287","Given the rapid uptake and the great diversity of PaaS offerings, understanding semantic interoperability at the PaaS level is essential for supporting inter-Cloud cooperation, seamless information exchange and application and data portability. In this vein, this paper introduces a PaaS semantic interoperability framework (PSIF). PSIF studies, models and tries to resolve semantic interoperability conflicts raised during the deployment or the migration of an application by defining the following dimensions: Fundamental PaaS Entities, Types of Semantics, and Levels of Semantic Conflicts. In the context of this paper, the development of common PaaS models and standardized management interfaces are raised as primary requirements in this context. PaaS architectures can then be augmented with a semantic layer that would host the common models and would be the link between heterogeneous PaaS offerings.","","978-1-4673-0090-2","10.1109/CloudCom.2011.45","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6133154","Cloud computing;PaaS;semantic interoperability framework;PaaS model","Semantics;Cloud computing;Data models;Standardization;Computational modeling;Pricing","","32","1","30","IEEE","19 Jan 2012","29 Nov.-1 Dec. 2011","29 Nov.-1 Dec. 2011","IEEE","IEEE Conferences"
"A Framework for Semantic Interoperability over the Cloud","F. Amato; A. Mazzeo; V. Moscato; A. Picariello","Dipartimento di Informatica e Sistemistica, University of Naples Federico II, Naples, Italy; Dipartimento di Informatica e Sistemistica, University of Naples Federico II, Naples, Italy; Dipartimento di Informatica e Sistemistica, University of Naples Federico II, Naples, Italy; Dipartimento di Informatica e Sistemistica, University of Naples Federico II, Naples, Italy",2013 27th International Conference on Advanced Information Networking and Applications Workshops,"1 Jul 2013","2013","","","1259","1264","Semantic Interoperability is one of the most important open challenges in the Knowledge Management field. In this work, we propose a framework for making easier information exchanging operations among heterogeneous information sources, over the Cloud. Exploiting the Semantic Web technologies, the framework has the objective of allowing semantic interoperability among distributed software agents preserving not only semantics of transmitted messages, but also the subjectivity of agent's world vision in the communication process. The proposed system, in fact, will help users in the digital documents exchanging activities by extracting the related relevant information and coding their informative contents in a shape capable of preserving the original semantics, also in the case of communications agents using different or incompatible vocabularies. The framework is a an evolution of semantic interoperable methodologies towards cloud computer technologies, thus guaranteeing several advantages in terms of usability, scalability and fault tolerance. In particular, we implemented a prototype that provides interoperability functionalities in the E-Health domain, managing information coming from heterogeneous sources.","","978-0-7695-4952-1","10.1109/WAINA.2013.218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6550568","Semantic Interoperability;Knowledge Management;Cloud computing","Semantics;Ontologies;Interoperability;Hospitals;Internet;Medical diagnostic imaging","","32","","19","IEEE","1 Jul 2013","25-28 March 2013","25-28 March 2013","IEEE","IEEE Conferences"
"Interoperability in IoT Through the Semantic Profiling of Objects","A. Mazayev; J. A. Martins; N. Correia","Center for Electronic, Optoelectronic and Telecommunications, University of Algarve, Faro, Portugal; Center for Electronic, Optoelectronic and Telecommunications, University of Algarve, Faro, Portugal; Center for Electronic, Optoelectronic and Telecommunications, University of Algarve, Faro, Portugal",IEEE Access,"17 Apr 2018","2018","6","","19379","19385","The emergence of smarter and broader people-oriented IoT applications and services requires interoperability at both data and knowledge levels. However, although some semantic IoT architectures have been proposed, achieving a high degree of interoperability requires dealing with a sea of non-integrated data, scattered across vertical silos. Also, these architectures do not fit into the machine-to-machine requirements, as data annotation has no knowledge on object interactions behind arriving data. This paper presents a vision of how to overcome these issues. More specifically, the semantic profiling of objects, through CoRE related standards, is envisaged as the key for data integration, allowing more powerful data annotation, validation, and reasoning. These are the key blocks for the development of intelligent applications.","2169-3536","","10.1109/ACCESS.2017.2763425","UID/MULTI/00631/2013 Project of the Portuguese Science and Technology Foundation (FCT); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8103762","Machine-to-machine communications;Internet of Things;Semantic Web;interoperability;mashups","Resource description framework;Semantics;Interoperability;Standards;Sensors;Protocols;Machine-to-machine communications","","31","","18","CCBY","10 Nov 2017","2018","","IEEE","IEEE Journals"
"Providing Semantic Interoperability Between Clinical Care and Clinical Research Domains","G. B. Laleci; M. Yuksel; A. Dogac","SRDC Software Research, Development and Consultancy Limited, Ankara, Turkey; Department of Computer Engineering, Middle East Technical University, Ankara, Turkey; SRDC Software Research, Development and Consultancy Limited, Ankara, Turkey",IEEE Journal of Biomedical and Health Informatics,"8 Mar 2013","2013","17","2","356","369","Improving the efficiency with which clinical research studies are conducted can lead to faster medication innovation and decreased time to market for new drugs. To increase this efficiency, the parties involved in a regulated clinical research study, namely, the sponsor, the clinical investigator and the regulatory body, each with their own software applications, need to exchange data seamlessly. However, currently, the clinical research and the clinical care domains are quite disconnected because each use different standards and terminology systems. In this paper, we describe an initial implementation of the Semantic Framework developed within the scope of SALUS project to achieve interoperability between the clinical research and the clinical care domains. In our Semantic Framework, the core ontology developed for semantic mediation is based on the shared conceptual model of both of these domains provided by the Biomedical Research Integrated Domain Group (BRIDG) initiative. The core ontology is then aligned with the extracted semantic models of the existing clinical care and research standards as well as with the ontological representations of the terminology systems to create a “model of meaning” for enabling semantic mediation. Although SALUS is a research and development effort rather than a product, the current SALUS knowledge base contains around 4.7 million triples representing BRIDG DAM, HL7 CDA model, Clinical Data Interchange Standards Consortium standards, and several terminology ontologies. In order to keep the reasoning process within acceptable limits without sacrificing the quality of mediation, we took an engineering approach by developing a number of heuristic mechanisms. The results indicate that it is possible to build a robust and scalable semantic framework with a solid theoretical foundation for achieving interoperability between the clinical research and clinical care domains.","2168-2208","","10.1109/TITB.2012.2219552","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6305484","Biomedical Research Integrated Domain Group (BRIDG);clinical research;electronic data capture (EDC) systems;electronic health record (EHR) systems;interoperability;semantic mediation","Semantics;Standards;Ontologies;Unified modeling language;Terminology;Drugs","Biomedical Research;Computer Communication Networks;Database Management Systems;Electronic Health Records;Humans;Medical Informatics Applications;Semantics","30","","54","IEEE","7 Mar 2013","March 2013","","IEEE","IEEE Journals"
"A semantic interoperability architecture for Internet of Things data sharing and computing","J. Strassner; W. W. Diab","Huawei Technologies, Santa Clara, California; Huawei Technologies, Santa Clara, California",2016 IEEE 3rd World Forum on Internet of Things (WF-IoT),"9 Feb 2017","2016","","","609","614","The Internet of Things lacks standardized mechanisms for discovering new and changing knowledge. While vendors may have the ability to build applications for their own devices, this typically does not enable open communication and sharing of data and knowledge. This document describes an architecture that combines information and data models with ontologies to provide an extensible semantic interoperability layer. This ensures that the meaning of terms and objects in one device or system are not lost or altered when they are exchanged and used by other devices or systems.","","978-1-5090-4130-5","10.1109/WF-IoT.2016.7845422","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7845422","interoperability;semantic interoperability;ontology;information model;data model;model-driven engineering","Semantics;Interoperability;Ontologies;Data models;Internet of Things;Computer architecture;Sensors;Protocols;Syntactics;Logic gates","","28","","30","IEEE","9 Feb 2017","12-14 Dec. 2016","12-14 Dec. 2016","IEEE","IEEE Conferences"
"Achieving Clinical Statement Interoperability Using R-MIM and Archetype-Based Semantic Transformations","O. Kilic; A. Dogac","Department of Computer Engineering, Middle East Technical University, Ankara, Turkey; Department of Computer Engineering, Middle East Technical University, Ankara, Turkey",IEEE Transactions on Information Technology in Biomedicine,"6 Jul 2009","2009","13","4","467","477","Effective use of electronic healthcare records (EHRs) has the potential to positively influence both the quality and the cost of health care. Consequently, sharing patient's EHRs is becoming a global priority in the healthcare information technology domain. This paper addresses the interoperability of EHR structure and content. It describes how two different EHR standards derived from the same reference information model (RIM) can be mapped to each other by using archetypes, refined message information model (R-MIM) derivations, and semantic tools. It is also demonstrated that well-defined R-MIM derivation rules help tracing the class properties back to their origins when the R-MIMs of two EHR standards are derived from the same RIM. Using well-defined rules also enable finding equivalences in the properties of the source and target EHRs. Yet an R-MIM still defines the concepts at the generic level. Archetypes (or templates), on the other hand, constrain an R-MIM to domain-specific concepts, and hence, provide finer granularity semantics. Therefore, while mapping clinical statements between EHRs, we also make use of the archetype semantics. Derivation statements are inferred from the Web Ontology Language definitions of the RIM, the R-MIMs, and the archetypes. Finally, we show how to transform Health Level Seven clinical statement instances to EHRcom clinical statement instances and vice versa by using the generated mapping definitions.","1558-0032","","10.1109/TITB.2008.904647","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5156191","Archetypes;clinical document sharing;eHealth;EHRcom;Health Level Seven (HL7) clinical document architecture (CDA);integrating healthcare enterprise (IHE) profiles;semantic interoperability","Medical services;Costs;Information technology;Medical treatment;Standards development;Standardization;Back;OWL;Consumer electronics;Laboratories","Algorithms;Medical Record Linkage;Medical Records Systems, Computerized;Models, Theoretical;Semantics;Systems Integration;Vocabulary, Controlled","27","","45","IEEE","6 Jul 2009","July 2009","","IEEE","IEEE Journals"
"A survey and analysis of ontology-based software tools for semantic interoperability in IoT and WoT landscapes","A. Gyrard; S. K. Datta; C. Bonnet","Univ Lyon, MINES Saint-tienne, CNRS, Laboratoire Hubert Curien UMR 5516, Saint-tienne, France; EURECOM, Sophia Antipolis, France; EURECOM, Sophia Antipolis, France",2018 IEEE 4th World Forum on Internet of Things (WF-IoT),"7 May 2018","2018","","","86","91","The current Internet of Things (IoT) ecosystem consists of non-interoperable products and services. The Web of Things (WoT) advances the IoT by allowing consumers to interact with the IoT ecosystem through the open and standard web technologies. But the Web alone does not solve the interoperability issues. It is widely acknowledged that Semantic Web Technologies hold the potential of achieving data and platform interoperability in both the IoT and WoT landscapes. In this context, the paper attempts to review and analyze the current state of ontology-based software tools for semantic interoperability.","","978-1-4673-9944-9","10.1109/WF-IoT.2018.8355091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8355091","Internet of Things;Semantic Web of Things;Semantic Web Technologies;Semantic Interoperability;Ontology Validation;Ontology Engineering","Ontologies;Interoperability;Tools;Semantics;Smart cities;Best practices;Internet of Things","","27","","29","IEEE","7 May 2018","5-8 Feb. 2018","5-8 Feb. 2018","IEEE","IEEE Conferences"
"Semantic tool interoperability for engineering manufacturing systems","T. Moser; S. Biffl","Christian Doppler Laboratory: Software Engineering Integration for Flexible Automation Systems, University of Technology, Vienna, Austria; Christian Doppler Laboratory: Software Engineering Integration for Flexible Automation Systems, University of Technology, Vienna, Austria",2010 IEEE 15th Conference on Emerging Technologies & Factory Automation (ETFA 2010),"18 Nov 2010","2010","","","1","8","Manufacturing systems engineering projects depend on contributions from several engineering disciplines. These contributions consist of complex artifacts like mechanical, electrical, and software components and plans. While the software tools are strong in supporting each individual engineering discipline, there is very little work on engineering processes automation across semantically heterogeneous engineering tool data models. In this paper, we adapt the Engineering Knowledge Base (EKB) concept, a semantic model, which extends the Global-as-View concept and explicitly models common engineering concepts and mappings using machine-understandable syntax, for the engineering of manufacturing systems. We evaluate the concept based on a real-world use case for data exchange between software tools involved in the engineering of a manufacturing system software simulator. Major result is that the EKB concept sufficiently supports the semantic interoperability of tools to enable the automation of engineering processes.","1946-0759","978-1-4244-6850-8","10.1109/ETFA.2010.5641343","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5641343","","Data models;Automation;Semantics;Ontologies;Data structures;Software","","27","1","22","IEEE","18 Nov 2010","13-16 Sept. 2010","13-16 Sept. 2010","IEEE","IEEE Conferences"
"Runtime Semantic Interoperability for Gathering Ontology-based Network Context","J. Keeney; D. Lewis; D. O'Sullivan; A. Roelens; V. Wade; A. Boran; R. Richardson","Knowledge & Data Engineering Group, Department of Computer Science, Trinity College Dublin, Dublin, Ireland; Knowledge & Data Engineering Group, Department of Computer Science, Trinity College Dublin, Dublin, Ireland; Knowledge & Data Engineering Group, Department of Computer Science, Trinity College Dublin, Dublin, Ireland; Knowledge & Data Engineering Group, Department of Computer Science, Trinity College Dublin, Dublin, Ireland; Knowledge & Data Engineering Group, Department of Computer Science, Trinity College Dublin, Dublin, Ireland; Bell Laboratories, Ireland; Bell Laboratories, Ireland",2006 IEEE/IFIP Network Operations and Management Symposium NOMS 2006,"23 Oct 2006","2006","","","56","65","The trends for pushing more operational intelligence towards network elements to achieve more context-aware and self-managing behavior often requires elements to gather network knowledge without necessarily binding explicitly to all of the potential sources of that knowledge. Though event-based publish-subscribe models allow efficient distribution of knowledge where the event types are known globally, dynamic service chains, ad hoc networks and pervasive computing application all introduce a more fluid and heterogeneous range of context knowledge. This requires some runtime translation of knowledge between sources and sinks of network context. This paper builds on existing mapping techniques that use ontological forms of existing management information models to examine the extent to which these can be employed for runtime semantic interoperability for network knowledge. It presents results in developing a management knowledge delivery framework based on existing models and platforms, but which offers a more decentralized knowledge exchange mechanism.","2374-9709","1-4244-0142-9","10.1109/NOMS.2006.1687538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1687538","ontologies;semantic interoperability;content-based networks","Runtime;Ontologies;Knowledge management;Intelligent networks;Publish-subscribe;Context modeling;Fluid dynamics;Ad hoc networks;Pervasive computing;Context-aware services","","24","3","40","IEEE","23 Oct 2006","3-7 April 2006","3-7 April 2006","IEEE","IEEE Conferences"
"Semantic and Agnostic Representation of Cloud Patterns for Cloud Interoperability and Portability","B. D. Martino; G. Cretella; A. Esposito","NA; Department of Industrial and Information Engineering, Aversa, Italy; Department of Industrial and Information Engineering, Aversa, Italy",2013 IEEE 5th International Conference on Cloud Computing Technology and Science,"6 Mar 2014","2013","2","","182","187","This paper focuses on two aspects related to the widespread of cloud computing: first, the definition of a common formalism, based on a unique and shared model, which could be used to completely describe Cloud patterns, second, the investigation of a methodology to automatize the recognition of similar elements in Design and Cloud patterns, thus defining an automatic mapping among representations of application that follow these patterns. These aspects are handled on one hand by extending an existing semantic based Design pattern language in order to properly represent both Design and Cloud patterns together with its possible related architectural implementations and on the other hand by using these agnostic representations to define a mapping between Design patterns (a single design pattern or a composition of pattern) and Cloud patterns, in order to obtain a clear model of the cloud applications which could satisfy its original requirements and exploit all the benefits of cloud computing at the same time.","","978-0-7695-5095-4","10.1109/CloudCom.2013.123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6735416","Cloud Pattern;Cloud Portability;Semantic Cloud;Semantic Mapping","Ontologies;Cloud computing;Semantics;Context;Taxonomy;Standards;Computational modeling","","22","","20","IEEE","6 Mar 2014","2-5 Dec. 2013","2-5 Dec. 2013","IEEE","IEEE Conferences"
"Semantic Interoperability in the Industry 4.0 Using the IEEE 1451 Standard","H. da Rocha; A. Espirito-Santo; R. Abrishambaf","Dept. of Electromechanical Engineering, University of Beira Interior IT - Institute of Telecommunications, Covilhã, Portugal; Dept. of Electromechanical Engineering, University of Beira Interior IT - Institute of Telecommunications, Covilhã, Portugal; Dept. of Engineering Technology, Miami University, Hamilton, OH, United States",IECON 2020 The 46th Annual Conference of the IEEE Industrial Electronics Society,"18 Nov 2020","2020","","","5243","5248","Interoperability is one of the important characteristics of the Internet of Things. The interoperability enables smart things to exchange data in different areas with different levels of interoperability. Industrial Internet of Things is one of them, and it has the focus in the manufacturing process and connected with other associated ideas as Industry 4.0, Cyber-Physical Systems, and Cyber-Physical Production Systems. It is mandatory to define reference architectures models to manage the Industry 4.0 and the Industrial Internet of Things. The reference models enable semantic interoperability. A reference model provides a bottom/top view of an industrial process, going from the business to the physical layer. At the physical layer, it is necessary to combine physical things with digital world representations, extending its functionalities in the manufacturing process. IEEE 1451 family standards has the essential characteristics to support the exchange of information between IoT applications and sensors & actuators, allowing the industry to build digital elements and meets the Industry 4.0 requirements. This paper presents the reference models proposed for Industry 4.0, taking as reference the implementation and adoption of the IEEE 1451 standard as an option to acquire data and communicates inside of an industrial process. However, at this point, IEEE 1451 enables to achieve the syntactic level of interoperability, in this paper is discussed how to achieve the semantic level of interoperability using the IEEE 1451 family of standards.","2577-1647","978-1-7281-5414-5","10.1109/IECON43393.2020.9254274","Nova; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9254274","Reference Architecture Models;IEEE 1451;Interoperability;Industry 4.0","Interoperability;Industries;Standards;Computer architecture;Semantics;Protocols;Unified modeling language","","21","","38","IEEE","18 Nov 2020","18-21 Oct. 2020","18-21 Oct. 2020","IEEE","IEEE Conferences"
"An Overview of Semantic Interoperability Ontologies and Frameworks for IoT","S. D. Nagowah; H. Ben Sta; B. A. Gobin-Rahimbux","Department of Software and Information Systems, University of Mauritius, Reduit, Moka, MU; Higher Institute of Computer Science, University of Tunis El Manar, Tunis, Tunisia; Department of Software and Information Systems, University of Mauritius, Reduit, Moka, MU",2018 Sixth International Conference on Enterprise Systems (ES),"27 Dec 2018","2018","","","82","89","Interoperability is one of the key challenges that needs to be addressed to realize the vision of the Internet of Things (IoT). Achieving interoperability in IoT will allow billions of devices to communicate and exchange information to perform jobs. Formalized ways are required to express needs and capabilities of these devices as well as services to be offered by the devices and these can be achieved by using semantics. Semantic interoperability is thus defined as unambiguous access and interpretation of data by different stakeholders. The paper presents the challenges and current solutions of semantic interoperability. It also discusses the limitations of the current solutions in IoT and recommends a way forward.","2572-6609","978-1-5386-8388-0","10.1109/ES.2018.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8588262","Internet of things;interoperability;semantics;semantic interoperability;ontologies","Interoperability;Semantics;Ontologies;Medical services;Internet of Things;Stakeholders;Electronic learning","","21","","96","IEEE","27 Dec 2018","1-2 Oct. 2018","1-2 Oct. 2018","IEEE","IEEE Conferences"
"Towards an IoT framework for semantic and organizational interoperability","I. P. Zarko; S. Soursos; I. Gojmerac; E. G. Ostermann; G. Insolvibile; M. Plociennik; P. Reichl; G. Bianchi","Faculty of Electrical Engineering and Computing, University of Zagreb, Croatia; Intracom SA Telecom Solutions, Greece; AIT Austrian Institute of Technology GmbH, Center for Digital Safety & Security, Austria; ATOS Spain SA, Spain; Nextworks SrI, Italy; IBCh PAS, IPoznan Supercomputing and Networking Center, Poland; Faculty of Computer Science, University of Vienna, Austria; CNIT, University of Roma Tor Vergata, Rome, Italy",2017 Global Internet of Things Summit (GIoTS),"24 Aug 2017","2017","","","1","6","While the current highly fragmented Internet of Things (IoT) ecosystem is characterized by an increasing number of platforms, their interoperability and collaboration is quite challenging to achieve, even more so due to numerous standardization initiatives. However, interoperability remains essential for future IoT deployments to facilitate the emergence of novel cross-domain applications and business opportunities. In this paper we present the interoperability approach pursued by the H2020 project symbIoTe which aims at creating a flexible interoperability framework supporting both semantic and organizational interoperability. While semantic interoperability, as a prerequisite for platform cooperation, has been widely addressed in literature, symbIoTe goes a step further to propose novel aspects of organizational interoperability by introducing a concept of IoT platform federations and roaming IoT devices. We present the symbIoTe architecture, highlight its major technical contributions, and provide an overview of current system implementation with focus on Cloud-based services which create a new perspective on IoT interoperability.","","978-1-5090-5873-0","10.1109/GIOTS.2017.8016253","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8016253","","Interoperability;Semantics;Collaboration;Ecosystems;Cloud computing;Smart devices;Ontologies","","20","","10","IEEE","24 Aug 2017","6-9 June 2017","6-9 June 2017","IEEE","IEEE Conferences"
"A Reference Architecture for federating IoT infrastructures supporting semantic interoperability","F. Carrez; T. Elsaleh; D. Gómez; L. Sánchez; J. Lanza; P. Grace","Institute for Communication Systems, University of Surrey, Guilford, UK; Institute for Communication Systems, University of Surrey, Guilford, UK; Network Planning and Mobile Communications Laboratory, Universidad de Cantabria, Santander, Spain; Network Planning and Mobile Communications Laboratory, Universidad de Cantabria, Santander, Spain; Network Planning and Mobile Communications Laboratory, Universidad de Cantabria, Santander, Spain; IT Innovation, University of Southampton, Southampton, UK",2017 European Conference on Networks and Communications (EuCNC),"17 Jul 2017","2017","","","1","6","The Internet-of-Things (IoT) is unanimously identified as one of the main pillars of future smart scenarios. However, despite the growing number of IoT deployments, the majority of IoT applications tend to be self-contained, thereby forming vertical silos. Indeed, the ability to combine and synthesize data streams and services from diverse IoT platforms and testbeds, holds the promise to increase the potential of smart applications in terms of size, scope and targeted business context. This paper describes the system architecture for the FIESTA-IoT platform, whose main aim is to federate a large number of testbeds across the planet, in order to offer experimenters the unique experience of dealing with a large number of semantically interoperable data sources. This system architecture was developed by following the Architectural Reference Model (ARM) methodology promoted by the IoT-A project (FP7 “light house” project on Architecture for the Internet of Things). Through this process, the FIESTA-IoT architecture is composed of a set of Views that deals with a “logical” functional decomposition (Functional View, FV) and data structuring and annotation, data flows and inter-functional component interactions (Information View, IV).","","978-1-5386-3873-6","10.1109/EuCNC.2017.7980765","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7980765","Internet-of-Things;Architecture;Testbed;Federation","Semantics;Sensors;Data models;Security;Systems architecture;Ontologies;Interoperability","","19","","9","IEEE","17 Jul 2017","12-15 June 2017","12-15 June 2017","IEEE","IEEE Conferences"
"A Sustainable Solution for IoT Semantic Interoperability: Dataspaces Model via Distributed Approaches","J. Lu; L. T. Yang; B. Guo; Q. Li; H. Su; G. Li; J. Tang","College of Computer Science, Sichuan University, Chengdu, China; Department of Computer Science, St. Francis Xavier University, Antigonish, Canada; College of Computer Science, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China; College of Computer Science, Sichuan University, Chengdu, China",IEEE Internet of Things Journal,"6 May 2022","2022","9","10","7228","7242","In the past few decades, the prevalence of Internet of Things (IoT) applications has brought both opportunities and challenges of different categories. One of the main concerns nowadays is semantic interoperability. Although plenty of augmented ontologies and resource description frameworks have been designed to achieve semantic interoperation, there is still no sustainable solution to interconnect the increasing number of heterogeneous devices and corresponding data. Aiming at this problem, this article presents a dataspaces model utilizing distributed approaches to represent semantic information as a sustainable solution for IoT semantic interoperability. In this model, an attention-based entity embedding approach is designed to convert IoT entities into low-dimensional dense vectors, then calculations, including entities, relations, etc., can be further conducted. Consequently, the entity embeddings could reflect the semantic information of Class equivalences among entities. To recognize entity relations, the generated entity vectors and the arithmetic results of two entities are combined as input features. By feeding the input features to a well-trained Tensor-train modified DNN, the relation between two entities could be recognized. Finally, experiments are conducted on two data sets to evaluate the proposed approaches. Results indicate that the generated entity vectors could effectively reflect the semantic similarity between entities. More importantly, while achieving parameter compression and better generalizing ability, the relation recognition approach improves the relation recognition accuracy on new entities compared with the state-of-art models.","2327-4662","","10.1109/JIOT.2021.3097068","National Natural Science Foundation of China(grant numbers:61772352); National Key Research and Development Project(grant numbers:2020YFB1711800,2020YFB1707900); Sichuan Province Science and Technology Support Program(grant numbers:2019YFG0400,2020YFG0479,2020YFG0322); Research and Development Project of Chengdu City(grant numbers:2019-YF05-01790-GX); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9484096","Distributed representation;entity embedding;Internet of Things (IoT);semantic data and service;semantic interoperability","Semantics;Internet of Things;Interoperability;Data models;Distributed databases;Training;Resource description framework","","19","","36","IEEE","14 Jul 2021","15 May15, 2022","","IEEE","IEEE Journals"
